babysitterID,firstName,lastName,email,zipcode,minHourlyRate,maxNumKids,minAgeKids
1,Louis,JIMENEZ,handsomeRaymond22@live.com,90001,28,4,11
2,Mary,POWELL,comfortableCarl@yahoo.com.au,90002,20,3,3
3,Patricia,JENKINS,worrisomePhilip@att.net,90003,9,2,4
4,Jennifer,PERRY,Carloscareful@yahoo.fr,90004,24,4,4
5,Linda,RUSSELL,nuttyKelsey21@yahoo.es,90005,8,2,9
6,Elizabeth,SULLIVAN,defiantEdwin@libero.it,90006,16,4,2
7,Barbara,BELL,depressedEvelyn71@tiscali.it,90007,19,2,4
8,Susan,COLEMAN,Reneezealous@hotmail.co.uk,90008,11,2,3
9,Jessica,BUTLER,soreCassie@sympatico.ca,90009,22,1,7
10,Sarah,HENDERSON,arrogantMelissa@yandex.ru,90010,19,2,11
11,Karen,BARNES,elatedBrent56@t-online.de,90001,17,1,12
12,Lisa,GONZALES,disturbedCharlotte@bigpond.net.au,90002,29,2,5
13,Nancy,FISHER,glamorousMarco14@comcast.net,90003,15,2,4
14,Betty,VASQUEZ,Eddiehilarious@alice.it,90004,15,6,2
15,Margaret,SIMMONS,Jordangood@ntlworld.com,90005,27,5,9
16,Sandra,ROMERO,zanyTracy55@yahoo.com.br,90006,17,5,7
17,Ashley,JORDAN,Christinasuccessful@yahoo.com.br,90007,24,1,6
18,Kimberly,PATTERSON,Davidglamorous@yahoo.com.sg,90008,24,1,9
19,Emily,ALEXANDER,Vanessanaughty@freenet.de,90009,10,3,1
20,Donna,HAMILTON,horribleGarrett@cox.net,90010,25,6,10
21,Michelle,GRAHAM,Jimmybrave@optusnet.com.au,90001,19,6,5
22,Carol,REYNOLDS,Bryanlovely@sbcglobal.net,90002,13,4,6
23,Amanda,GRIFFIN,relievedSeth42@live.com,90003,22,2,3
24,Dorothy,WALLACE,thankfulAngelica@rocketmail.com,90004,17,2,4
25,Melissa,MORENO,crazyMelinda67@aliceadsl.fr,90005,17,3,12
26,Deborah,WEST,Jorgeunusual@live.com.au,90006,13,6,5
27,Stephanie,COLE,crowdedJeffery73@live.it,90007,8,2,12
28,Rebecca,HAYES,Levismiling@aol.com,90008,11,4,7
29,Sharon,BRYANT,unsightlyJeffrey@yandex.ru,90009,20,4,5
30,Laura,HERRERA,Javierwrong@planet.nl,90010,13,3,11
31,Cynthia,GIBSON,Carlosgleaming@sfr.fr,90001,13,2,7
32,Kathleen,ELLIS,motionlessSteven43@rambler.ru,90002,11,3,9
33,Amy,TRAN,Emmanuelrich@yahoo.com.ar,90003,19,5,2
34,Angela,MEDINA,mushyValerie@planet.nl,90004,21,2,6
35,Shirley,AGUILAR,old-fashionedChase@shaw.ca,90005,9,3,3
36,Anna,STEVENS,blackBrooke23@live.com,90006,25,5,3
37,Brenda,MURRAY,naughtyCarl@yahoo.com.au,90007,29,6,9
38,Pamela,FORD,Brookekind@voila.fr,90008,17,2,11
39,Emma,CASTRO,toughCynthia@blueyonder.co.uk,90009,19,6,5
40,Nicole,MARSHALL,unusualDominique98@outlook.com,90010,14,1,7
41,Helen,OWENS,franticJared@alice.it,90001,11,6,2
42,Samantha,HARRISON,Tinastupid@club-internet.fr,90002,18,3,5
43,Katherine,FERNANDEZ,Mariehomely@libero.it,90003,21,1,5
44,Christine,MCDONALD,fantasticTina@windstream.net,90004,13,2,12
45,Debra,WOODS,Veronicaprecious@yahoo.it,90005,12,1,7
46,Rachel,WASHINGTON,Darrenhomely@alice.it,90006,15,3,2
47,Carolyn,KENNEDY,difficultJimmy@yahoo.com.ar,90007,25,1,7
48,Janet,WELLS,Nicholaspleasant@telenet.be,90008,24,6,5
49,Catherine,VARGAS,clumsyAmelia@outlook.com,90009,11,4,8
50,Maria,HENRY,Hillaryoutstanding@tiscali.it,90010,28,3,9
51,Heather,CHEN,Toddweary@orange.fr,90001,28,4,8
52,Diane,FREEMAN,clearJordan52@tiscali.it,90002,15,6,5
53,Ruth,WEBB,Migueluninterested@centurytel.net,90003,16,6,12
54,Julie,TUCKER,Carlold-fashioned@tiscali.co.uk,90004,28,3,7
55,Olivia,GUZMAN,Arthurgifted@cox.net,90005,20,5,4
56,Joyce,BURNS,tenseChristy82@mail.com,90006,30,5,8
57,Virginia,CRAWFORD,strangeDawn@yahoo.it,90007,11,5,5
58,Victoria,OLSON,darkChristopher74@gmx.de,90008,30,4,7
